A1BG        P04217
DFFA        O00273
DFFB        O76075
DFNA5       O60443
DFNB59      Q0ZLH3
DGAT1       O75907
DGAT2       Q96PD7
DGAT2L6     Q6ZPD8
DGCR2       P98153
DGCR6       Q14129
DGCR6L      Q9BY27
DGCR8       Q8WYQ5
DGKA        P23743
DGKB        Q9Y6T7
DGKD        Q16760
DGKE        P52429
DGKG        P49619
DGKH        Q86XP1
DGKI        O75912
DGKK        Q5KSL6
DGKQ        P52824
DGKZ        Q13574
DGUOK       Q16854
DHCR7       Q9UBM7
DHCR24      Q15392
DHDDS       Q86SQ9
DHDH        Q9UQ10
DHFR        P00374
DHFR2       Q86XF0
DHH         O43323
DHODH       Q02127
DHPS        P49366
DHRS1       Q96LJ7
DHRS2       Q13268
DHRS3       O75911
DHRS4       Q9BTZ2
DHRS4L2     Q6PKH6
DHRS7       Q9Y394
DHRS7B      Q6IAN0
DHRS7C      A6NNS2
DHRS9       Q9BPW9
DHRS11      Q6UWP2
DHRS12      A0PJE2
DHRS13      Q6UX07
DHRSX       Q8N5I4
DHTKD1      Q96HY7
DHX8        Q14562
DHX9        Q08211
DHX15       O43143
DHX16       O60231
DHX29       Q7Z478
DHX30       Q7L2E3
DHX32       Q7L7V1
DHX33       Q9H6R0
DHX34       Q14147
DHX35       Q9H5Z1
DHX36       Q9H2U1
DHX37       Q8IY37
DHX38       Q92620
DHX40       Q8IX18
DHX57       Q6P158
DHX58       Q96C10
DIABLO      Q9NR28
DIAPH1      O60610
DIAPH2      O60879
DIAPH3      Q9NSV4
DICER1      Q9UPY3
DIDO1       Q9BTC0
DIEXF       Q68CQ4
DIMT1       Q9UNQ2
DIO1        P49895
DIO2        Q92813
DIO3        P55073
DIP2A       Q14689
DIP2B       Q9P265
DIP2C       Q9Y2E4
DIRAS1      O95057
DIRAS2      Q96HU8
DIRAS3      O95661
DIRC1       Q969H9
DIRC2       Q96SL1
DIS3        Q9Y2L1
DIS3L       Q8TF46
DIS3L2      Q8IYB7
DISC1       Q9NRI5
DISP1       Q96F81
DISP2       A7MBM2
DISP3       Q9P2K9
DIXDC1      Q155Q3
DKC1        O60832
DKK1        O94907
DKK2        Q9UBU2
DKK3        Q9UBP4
DKK4        Q9UBT3
DKKL1       Q9UK85
DLAT        P10515
DLC1        Q96QB1
DLD         P09622
DLEC1       Q9Y238
DLEU7       Q6UYE1
DLG1        Q12959
DLG2        Q15700
DLG3        Q92796
DLG4        P78352
DLG5        Q8TDM6
DLGAP1      O14490
DLGAP2      Q9P1A6
DLGAP3      O95886
DLGAP4      Q9Y2H0
DLGAP5      Q15398
DLK1        P80370
DLK2        Q6UY11
DLL1        O00548
DLL3        Q9NYJ7
DLL4        Q9NR61
DLST        P36957
DLX1        P56177
DLX2        Q07687
DLX3        O60479
DLX4        Q92988
DLX5        P56178
DLX6        P56179
DMAC1       Q96GE9
DMAC2       Q9NW81
DMAP1       Q9NPF5
DMBT1       Q9UGM3
DMBX1       Q8NFW5
DMC1        Q14565
DMD         P11532
DMGDH       Q9UI17
DMKN        Q6E0U4
DMP1        Q13316
DMPK        Q09013
DMRT1       Q9Y5R6
DMRT2       Q9Y5R5
DMRT3       Q9NQL9
DMRTA1      Q5VZB9
DMRTA2      Q96SC8
DMRTB1      Q96MA1
DMRTC1      Q5HYR2
DMRTC1B     Q5HYR2
DMRTC2      Q8IXT2
DMTF1       Q9Y222
DMTN        Q08495
DMWD        Q09019
DMXL1       Q9Y485
DMXL2       Q8TDJ6
DNA2        P51530
DNAAF1      Q8NEP3
DNAAF2      Q9NVR5
DNAAF3      Q8N9W5
DNAAF4      Q8WXU2
DNAAF5      Q86Y56
DNAH1       Q9P2D7
DNAH2       Q9P225
DNAH3       Q8TD57
DNAH5       Q8TE73
DNAH6       Q9C0G6
DNAH7       Q8WXX0
DNAH8       Q96JB1
DNAH9       Q9NYC9
DNAH10      Q8IVF4
DNAH10OS    P0CZ25
DNAH11      Q96DT5
DNAH12      Q6ZR08
DNAH14      Q0VDD8
DNAH17      Q9UFH2
DNAI1       Q9UI46
DNAI2       Q9GZS0
DNAJA1      P31689
DNAJA2      O60884
DNAJA3      Q96EY1
DNAJA4      Q8WW22
DNAJB1      P25685
DNAJB2      P25686
DNAJB4      Q9UDY4
DNAJB5      O75953
DNAJB6      O75190
DNAJB7      Q7Z6W7
DNAJB8      Q8NHS0
DNAJB9      Q9UBS3
DNAJB11     Q9UBS4
DNAJB12     Q9NXW2
DNAJB13     P59910
DNAJB14     Q8TBM8
DNAJC1      Q96KC8
DNAJC2      Q99543
DNAJC3      Q13217
DNAJC4      Q9NNZ3
DNAJC5      Q9H3Z4
DNAJC5B     Q9UF47
DNAJC5G     Q8N7S2
DNAJC6      O75061
DNAJC7      Q99615
DNAJC8      O75937
DNAJC9      Q8WXX5
DNAJC10     Q8IXB1
DNAJC11     Q9NVH1
DNAJC12     Q9UKB3
DNAJC13     O75165
DNAJC14     Q6Y2X3
DNAJC15     Q9Y5T4
DNAJC16     Q9Y2G8
DNAJC17     Q9NVM6
DNAJC18     Q9H819
DNAJC19     Q96DA6
DNAJC21     Q5F1R6
DNAJC22     Q8N4W6
DNAJC24     Q6P3W2
DNAJC25     Q9H1X3
DNAJC27     Q9NZQ0
DNAJC28     Q9NX36
DNAJC30     Q96LL9
DNAL1       Q4LDG9
DNAL4       O96015
DNALI1      O14645
DNASE1      P24855
DNASE1L1    P49184
DNASE1L2    Q92874
DNASE1L3    Q13609
DNASE2      O00115
DNASE2B     Q8WZ79
DND1        Q8IYX4
DNER        Q8NFT8
DNHD1       Q96M86
DNLZ        Q5SXM8
DNM1        Q05193
DNM1L       O00429
DNM2        P50570
DNM3        Q9UQ16
DNMBP       Q6XZF7
DNMT1       P26358
DNMT3A      Q9Y6K1
DNMT3B      Q9UBC3
DNMT3L      Q9UJW3
DNPEP       Q9ULA0
DNPH1       O43598
DNTT        P04053
DNTTIP1     Q9H147
DNTTIP2     Q5QJE6
DOC2A       Q14183
DOC2B       Q14184
DOCK1       Q14185
DOCK2       Q92608
DOCK3       Q8IZD9
DOCK4       Q8N1I0
DOCK5       Q9H7D0
DOCK6       Q96HP0
DOCK7       Q96N67
DOCK8       Q8NF50
DOCK9       Q9BZ29
DOCK10      Q96BY6
DOCK11      Q5JSL3
DOHH        Q9BU89
DOK1        Q99704
DOK2        O60496
DOK3        Q7L591
DOK4        Q8TEW6
DOK5        Q9P104
DOK6        Q6PKX4
DOK7        Q18PE1
DOLK        Q9UPQ8
DOLPP1      Q86YN1
DONSON      Q9NYP3
DOPEY1      Q5JWR5
DOPEY2      Q9Y3R5
DOT1L       Q8TEK3
DPAGT1      Q9H3H5
DPCD        Q9BVM2
DPCR1       Q3MIW9
DPEP1       P16444
DPEP2       Q9H4A9
DPEP3       Q9H4B8
DPF1        Q92782
DPF2        Q92785
DPF3        Q92784
DPH1        Q9BZG8
DPH2        Q9BQC3
DPH3        Q96FX2
DPH5        Q9H2P9
DPH6        Q7L8W6
DPH7        Q9BTV6
DPM1        O60762
DPM2        O94777
DPM3        Q9P2X0
DPP3        Q9NY33
DPP4        P27487
DPP6        P42658
DPP7        Q9UHL4
DPP8        Q6V1X1
DPP9        Q86TI2
DPP10       Q8N608
DPPA2       Q7Z7J5
DPPA3       Q6W0C5
DPPA4       Q7L190
DPPA5       A6NC42
DPRX        A6NFQ7
DPT         Q07507
DPY19L1     Q2PZI1
DPY19L2     Q6NUT2
DPY19L3     Q6ZPD9
DPY19L4     Q7Z388
DPY30       Q9C005
DPYD        Q12882
DPYS        Q14117
DPYSL2      Q16555
DPYSL3      Q14195
DPYSL4      O14531
DPYSL5      Q9BPU6
DQX1        Q8TE96
DR1         Q01658
DRAM1       Q8N682
DRAM2       Q6UX65
DRAP1       Q14919
DRAXIN      Q8NBI3
DRC1        Q96MC2
DRC3        Q9H069
DRC7        Q8IY82
DRD1        P21728
DRD2        P14416
DRD3        P35462
DRD4        P21917
DRD5        P21918
DRG1        Q9Y295
DRG2        P55039
DRGX        A6NNA5
DRICH1      Q6PGQ1
DROSHA      Q9NRR4
DRP2        Q13474
DSC1        Q08554
DSC2        Q02487
DSC3        Q14574
DSCAM       O60469
DSCAML1     Q8TD84
DSCC1       Q9BVC3
DSCR3       O14972
DSE         Q9UL01
DSEL        Q8IZU8
DSG1        Q02413
DSG2        Q14126
DSG3        P32926
DSG4        Q86SJ6
DSN1        Q9H410
DSP         P15924
DSPP        Q9NZW4
DST         Q03001
DSTN        P60981
DSTYK       Q6XUX3
DTD1        Q8TEA8
DTD2        Q96FN9
DTHD1       Q6ZMT9
DTL         Q9NZJ0
DTNA        Q9Y4J8
DTNB        O60941
DTNBP1      Q96EV8
DTWD1       Q8N5C7
DTWD2       Q8NBA8
DTX1        Q86Y01
DTX2        Q86UW9
DTX3        Q8N9I9
DTX3L       Q8TDB6
DTX4        Q9Y2E6
DTYMK       P23919
DUOX1       Q9NRD9
DUOX2       Q9NRD8
DUOXA1      Q1HG43
DUOXA2      Q1HG44
DUPD1       Q68J44
DUS1L       Q6P1R4
DUS2        Q9NX74
DUS3L       Q96G46
DUS4L       O95620
DUSP1       P28562
DUSP2       Q05923
DUSP3       P51452
DUSP4       Q13115
DUSP5       Q16690
DUSP6       Q16828
DUSP7       Q16829
DUSP8       Q13202
DUSP9       Q99956
DUSP10      Q9Y6W6
DUSP11      O75319
DUSP12      Q9UNI6
DUSP14      O95147
DUSP15      Q9H1R2
DUSP16      Q9BY84
DUSP18      Q8NEJ0
DUSP19      Q8WTR2
DUSP21      Q9H596
DUSP22      Q9NRW4
DUSP23      Q9BVJ7
DUSP26      Q9BV47
DUSP27      Q5VZP5
DUSP28      Q4G0W2
DUT         P33316
DUX4        Q9UBX2
DUXA        A6NLW8
DVL1        O14640
DVL2        O14641
DVL3        Q92997
DXO         O77932
DYDC1       Q8WWB3
DYDC2       Q96IM9
DYM         Q7RTS9
DYNAP       Q8N1N2
DYNC1H1     Q14204
DYNC1I1     O14576
DYNC1I2     Q13409
DYNC1LI1    Q9Y6G9
DYNC1LI2    O43237
DYNC2H1     Q8NCM8
DYNC2LI1    Q8TCX1
DYNLL1      P63167
DYNLL2      Q96FJ2
DYNLRB1     Q9NP97
DYNLRB2     Q8TF09
DYNLT1      P63172
DYNLT3      P51808
DYRK1A      Q13627
DYRK1B      Q9Y463
DYRK2       Q92630
DYRK3       O43781
DYRK4       Q9NR20
DYSF        O75923
DYTN        A2CJ06
DZANK1      Q9NVP4
DZIP1       Q86YF9
DZIP1L      Q8IYY4
DZIP3       Q86Y13
E2F1        Q01094
E2F2        Q14209
E2F3        O00716
E2F4        Q16254
E2F5        Q15329
E2F6        O75461
E2F7        Q96AV8
E2F8        A0AVK6
E4F1        Q66K89
EAF1        Q96JC9
EAF2        Q96CJ1
EAPP        Q56P03
EARS2       Q5JPH6
EBAG9       O00559
EBF1        Q9UH73
EBF2        Q9HAK2
EBF3        Q9H4W6
EBF4        Q9BQW3
EBI3        Q14213
EBLN1       P0CF75
EBLN2       Q6P2I7
EBNA1BP2    Q99848
EBP         Q15125
EBPL        Q9BY08
ECD         O95905
ECE1        P42892
ECE2        O60344
ECEL1       O95672
ECH1        Q13011
ECHDC1      Q9NTX5
ECHDC2      Q86YB7
ECHDC3      Q96DC8
ECHS1       P30084
ECI1        P42126
ECI2        O75521
ECM1        Q16610
ECM2        O94769
ECSCR       Q19T08
ECSIT       Q9BQ95
ECT2        Q9H8V3
ECT2L       Q008S8
EDA         Q92838
EDA2R       Q9HAV5
EDAR        Q9UNE0
EDARADD     Q8WWZ3
EDC3        Q96F86
EDC4        Q6P2E9
EDDM3A      Q14507
EDDM3B      P56851
EDEM1       Q92611
EDEM2       Q9BV94
EDEM3       Q9BZQ6
EDF1        O60869
EDIL3       O43854
EDN1        P05305
EDN2        P20800
EDN3        P14138
EDNRA       P25101
EDNRB       P24530
EDRF1       Q3B7T1
EEA1        Q15075
EED         O75530
EEF1A1      P68104
EEF1A2      Q05639
EEF1AKMT1   Q8WVE0
EEF1AKMT2   Q5JPI9
EEF1AKMT3   Q96AZ1
EEF1B2      P24534
EEF1D       P29692
EEF1E1      O43324
EEF1G       P26641
EEF2        P13639
EEF2K       O00418
EEF2KMT     Q96G04
EEFSEC      P57772
EEPD1       Q7L9B9
EFCAB1      Q9HAE3
EFCAB2      Q5VUJ9
EFCAB3      Q8N7B9
EFCAB5      A4FU69
EFCAB6      Q5THR3
EFCAB7      A8K855
EFCAB8      A8MWE9
EFCAB9      A8MZ26
EFCAB11     Q9BUY7
EFCAB12     Q6NXP0
EFCAB13     Q8IY85
EFCAB14     O75071
EFCC1       Q9HA90
EFEMP1      Q12805
EFEMP2      O95967
EFHB        Q8N7U6
EFHC1       Q5JVL4
EFHC2       Q5JST6
EFHD1       Q9BUP0
EFHD2       Q96C19
EFL1        Q7Z2Z2
EFNA1       P20827
EFNA2       O43921
EFNA3       P52797
EFNA4       P52798
EFNA5       P52803
EFNB1       P98172
EFNB2       P52799
EFNB3       Q15768
EFR3A       Q14156
EFR3B       Q9Y2G0
EFS         O43281
EFTUD2      Q15029
EGF         P01133
EGFL6       Q8IUX8
EGFL7       Q9UHF1
EGFL8       Q99944
EGFLAM      Q63HQ2
EGFR        P00533
EGLN1       Q9GZT9
EGLN2       Q96KS0
EGLN3       Q9H6Z9
EGR1        P18146
EGR2        P11161
EGR3        Q06889
EGR4        Q05215
EHBP1       Q8NDI1
EHBP1L1     Q8N3D4
EHD1        Q9H4M9
EHD2        Q9NZN4
EHD3        Q9NZN3
EHD4        Q9H223
EHF         Q9NZC4
EHHADH      Q08426
EHMT1       Q9H9B1
EHMT2       Q96KQ7
EI24        O14681
EID1        Q9Y6B2
EID2        Q8N6I1
EID2B       Q96D98
EID3        Q8N140
EIF1        P41567
EIF1AD      Q8N9N8
EIF1AX      P47813
EIF1AY      O14602
EIF1B       O60739
EIF2A       Q9BY44
EIF2AK1     Q9BQI3
EIF2AK2     P19525
EIF2AK3     Q9NZJ5
EIF2AK4     Q9P2K8
EIF2B1      Q14232
EIF2B2      P49770
EIF2B3      Q9NR50
EIF2B4      Q9UI10
EIF2B5      Q13144
EIF2D       P41214
EIF2S1      P05198
EIF2S2      P20042
EIF2S3      P41091
EIF3A       Q14152
EIF3B       P55884
EIF3C       Q99613
EIF3CL      B5ME19
EIF3D       O15371
EIF3E       P60228
EIF3F       O00303
EIF3G       O75821
EIF3H       O15372
EIF3I       Q13347
EIF3J       O75822
EIF3K       Q9UBQ5
EIF3L       Q9Y262
EIF3M       Q7L2H7
EIF4A1      P60842
EIF4A2      Q14240
EIF4A3      P38919
EIF4B       P23588
EIF4E       P06730
EIF4E1B     A6NMX2
EIF4E2      O60573
EIF4E3      Q8N5X7
EIF4EBP1    Q13541
EIF4EBP2    Q13542
EIF4EBP3    O60516
EIF4ENIF1   Q9NRA8
EIF4G1      Q04637
EIF4G2      P78344
EIF4G3      O43432
EIF4H       Q15056
EIF5        P55010
EIF5A       P63241
EIF5A2      Q9GZV4
EIF5AL1     Q6IS14
EIF5B       O60841
EIF6        P56537
EIPR1       Q53HC9
ELAC1       Q9H777
ELAC2       Q9BQ52
ELANE       P08246
ELAVL1      Q15717
ELAVL2      Q12926
ELAVL3      Q14576
ELAVL4      P26378
ELF1        P32519
ELF2        Q15723
ELF3        P78545
ELF4        Q99607
ELF5        Q9UKW6
ELFN1       P0C7U0
ELFN2       Q5R3F8
ELK1        P19419
ELK3        P41970
ELK4        P28324
ELL         P55199
ELL2        O00472
ELL3        Q9HB65
ELMO1       Q92556
ELMO2       Q96JJ3
ELMO3       Q96BJ8
ELMOD1      Q8N336
ELMOD2      Q8IZ81
ELMOD3      Q96FG2
ELMSAN1     Q6PJG2
ELN         P15502
ELOA        Q14241
ELOA2       Q8IYF1
ELOA3       Q8NG57
ELOA3B      Q3SY89
ELOA3C      A0A087WX78
ELOA3D      A6NLF2
ELOB        Q15370
ELOC        Q15369
ELOF1       P60002
ELOVL1      Q9BW60
ELOVL2      Q9NXB9
ELOVL3      Q9HB03
ELOVL4      Q9GZR5
ELOVL5      Q9NYP7
ELOVL6      Q9H5J4
ELOVL7      A1L3X0
ELP1        O95163
ELP2        Q6IA86
ELP3        Q9H9T3
ELP4        Q96EB1
ELP5        Q8TE02
ELP6        Q0PNE2
ELSPBP1     Q96BH3
EMB         Q6PCB8
EMC1        Q8N766
EMC2        Q15006
EMC3        Q9P0I2
EMC4        Q5J8M3
EMC6        Q9BV81
EMC7        Q9NPA0
EMC8        O43402
EMC9        Q9Y3B6
EMC10       Q5UCC4
EMCN        Q9ULC0
EMD         P50402
EME1        Q96AY2
EME2        A4GXA9
EMG1        Q92979
EMID1       Q96A84
EMILIN1     Q9Y6C2
EMILIN2     Q9BXX0
EMILIN3     Q9NT22
EML1        O00423
EML2        O95834
EML3        Q32P44
EML4        Q9HC35
EML5        Q05BV3
EML6        Q6ZMW3
EMP1        P54849
EMP2        P54851
EMP3        P54852
EMSY        Q7Z589
EMX1        Q04741
EMX2        Q04743
EN1         Q05925
EN2         P19622
ENAH        Q8N8S7
ENAM        Q9NRM1
ENC1        O14682
ENDOD1      O94919
ENDOG       Q14249
ENDOU       P21128
ENDOV       Q8N8Q3
ENG         P17813
ENGASE      Q8NFI3
ENHO        Q6UWT2
ENKD1       Q9H0I2
ENKUR       Q8TC29
ENO1        P06733
ENO2        P09104
ENO3        P13929
ENO4        A6NNW6
ENOPH1      Q9UHY7
ENOSF1      Q7L5Y1
ENOX1       Q8TC92
ENOX2       Q16206
ENPEP       Q07075
ENPP1       P22413
ENPP2       Q13822
ENPP3       O14638
ENPP4       Q9Y6X5
ENPP5       Q9UJA9
ENPP6       Q6UWR7
ENPP7       Q6UWV6
ENSA        O43768
ENTHD1      Q8IYW4
ENTPD1      P49961
ENTPD2      Q9Y5L3
ENTPD3      O75355
ENTPD4      Q9Y227
ENTPD5      O75356
ENTPD6      O75354
ENTPD7      Q9NQZ7
ENTPD8      Q5MY95
ENY2        Q9NPA8
EOGT        Q5NDL2
EOMES       O95936
EP300       Q09472
EP400       Q96L91
EPAS1       Q99814
EPB41       P11171
EPB41L1     Q9H4G0
EPB41L2     O43491
EPB41L3     Q9Y2J2
EPB41L4A    Q9HCS5
EPB41L4B    Q9H329
EPB41L5     Q9HCM4
EPB42       P16452
EPC1        Q9H2F5
EPC2        Q52LR7
EPCAM       P16422
EPDR1       Q9UM22
EPG5        Q9HCE0
EPGN        Q6UW88
EPHA1       P21709
EPHA2       P29317
EPHA3       P29320
EPHA4       P54764
EPHA5       P54756
EPHA6       Q9UF33
EPHA7       Q15375
EPHA8       P29322
EPHA10      Q5JZY3
EPHB1       P54762
EPHB2       P29323
EPHB3       P54753
EPHB4       P54760
EPHB6       O15197
EPHX1       P07099
EPHX2       P34913
EPHX3       Q9H6B9
EPHX4       Q8IUS5
EPM2AIP1    Q7L775
EPN1        Q9Y6I3
EPN2        O95208
EPN3        Q9H201
EPO         P01588
EPOP        A6NHQ4
EPOR        P19235
EPPIN       O95925
EPPK1       P58107
EPRS        P07814
EPS8        Q12929
EPS8L1      Q8TE68
EPS8L2      Q9H6S3
EPS8L3      Q8TE67
EPS15       P42566
EPS15L1     Q9UBC2
EPSTI1      Q96J88
EPX         P11678
EPYC        Q99645
EQTN        Q9NQ60
ERAL1       O75616
ERAP1       Q9NZ08
ERAP2       Q6P179
ERAS        Q7Z444
ERBB2       P04626
ERBB3       P21860
ERBB4       Q15303
ERBIN       Q96RT1
ERC1        Q8IUD2
ERC2        O15083
ERCC1       P07992
ERCC2       P18074
ERCC3       P19447
ERCC4       Q92889
ERCC5       P28715
ERCC6       Q03468
ERCC6L      Q2NKX8
ERCC6L2     Q5T890
ERCC8       Q13216
EREG        O14944
ERF         P50548
ERFE        Q4G0M1
ERG         P11308
ERG28       Q9UKR5
ERGIC1      Q969X5
ERGIC2      Q96RQ1
ERGIC3      Q9Y282
ERH         P84090
ERI1        Q8IV48
ERI2        A8K979
ERI3        O43414
ERICH1      Q86X53
ERICH2      A1L162
ERICH3      Q5RHP9
ERICH4      A6NGS2
ERICH5      Q6P6B1
ERICH6      Q7L0X2
ERICH6B     Q5W0A0
ERLEC1      Q96DZ1
ERLIN1      O75477
ERLIN2      O94905
ERMAP       Q96PL5
ERMARD      Q5T6L9
ERMN        Q8TAM6
ERMP1       Q7Z2K6
ERN1        O75460
ERN2        Q76MJ5
ERO1A       Q96HE7
ERO1B       Q86YB8
ERP27       Q96DN0
ERP29       P30040
ERP44       Q9BS26
ERRFI1      Q9UJM3
ESAM        Q96AP7
ESCO1       Q5FWF5
ESCO2       Q56NI9
ESD         P10768
ESF1        Q9H501
ESM1        Q9NQ30
ESPL1       Q14674
ESPN        B1AK53
ESPNL       Q6ZVH7
ESR1        P03372
ESR2        Q92731
ESRP1       Q6NXG1
ESRP2       Q9H6T0
ESRRA       P11474
ESRRB       O95718
ESRRG       P62508
ESS2        Q96DF8
ESX1        Q8N693
ESYT1       Q9BSJ8
ESYT2       A0FGR8
ESYT3       A0FGR9
ETAA1       Q9NY74
ETF1        P62495
ETFA        P13804
ETFB        P38117
ETFBKMT     Q8IXQ9
ETFDH       Q16134
ETFRF1      Q6IPR1
ETHE1       O95571
ETNK1       Q9HBU6
ETNK2       Q9NVF9
ETNPPL      Q8TBG4
ETS1        P14921
ETS2        P15036
ETV1        P50549
ETV2        O00321
ETV3        P41162
ETV3L       Q6ZN32
ETV4        P43268
ETV5        P41161
ETV6        P41212
ETV7        Q9Y603
EVA1A       Q9H8M9
EVA1B       Q9NVM1
EVA1C       P58658
EVC         P57679
EVC2        Q86UK5
EVI2A       P22794
EVI2B       P34910
EVI5        O60447
EVI5L       Q96CN4
EVL         Q9UI08
EVPL        Q92817
EVPLL       A8MZ36
EVX1        P49640
EVX2        Q03828
EWSR1       Q01844
EXD1        Q8NHP7
EXD2        Q9NVH0
EXO1        Q9UQ84
EXO5        Q9H790
EXOC1       Q9NV70
EXOC2       Q96KP1
EXOC3       O60645
EXOC3L1     Q86VI1
EXOC3L2     Q2M3D2
EXOC3L4     Q17RC7
EXOC4       Q96A65
EXOC5       O00471
EXOC6       Q8TAG9
EXOC6B      Q9Y2D4
EXOC7       Q9UPT5
EXOC8       Q8IYI6
EXOG        Q9Y2C4
EXOSC1      Q9Y3B2
EXOSC2      Q13868
EXOSC3      Q9NQT5
EXOSC4      Q9NPD3
EXOSC5      Q9NQT4
EXOSC6      Q5RKV6
EXOSC7      Q15024
EXOSC8      Q96B26
EXOSC9      Q06265
EXOSC10     Q01780
EXPH5       Q8NEV8
EXT1        Q16394
EXT2        Q93063
EXTL1       Q92935
EXTL2       Q9UBQ6
EXTL3       O43909
EYA1        Q99502
EYA2        O00167
EYA3        Q99504
EYA4        O95677
EYS         Q5T1H1
EZH1        Q92800
EZH2        Q15910
EZR         P15311
F2          P00734
F2R         P25116
F2RL1       P55085
F2RL2       O00254
F2RL3       Q96RI0
F3          P13726
F5          P12259
F7          P08709
F8          P00451
F8A1        P23610
F8A2        P23610
F8A3        P23610
F9          P00740
F10         P00742
F11         P03951
F11R        Q9Y624
F12         P00748
F13A1       P00488
F13B        P05160
FA2H        Q7L5A8
FAAH        O00519
FAAH2       Q6GMR7
FAAP20      Q6NZ36
FAAP24      Q9BTP7
FAAP100     Q0VG06
FABP1       P07148
FABP2       P12104
FABP3       P05413
FABP4       P15090
FABP5       Q01469
FABP6       P51161
FABP7       O15540
FABP9       Q0Z7S8
FABP12      A6NFH5
FADD        Q13158
FADS1       O60427
FADS2       O95864
FADS3       Q9Y5Q0
FADS6       Q8N9I5
FAF1        Q9UNN5
FAF2        Q96CS3
FAH         P16930
FAHD1       Q6P587
FAHD2A      Q96GK7
FAHD2B      Q6P2I3
FAIM        Q9NVQ4
FAIM2       Q9BWQ8
FAM3A       P98173
FAM3B       P58499
FAM3C       Q92520
FAM3D       Q96BQ1
FAM8A1      Q9UBU6
FAM9A       Q8IZU1
FAM9B       Q8IZU0
FAM9C       Q8IZT9
FAM13A      O94988
FAM13B      Q9NYF5
FAM13C      Q8NE31
FAM19A1     Q7Z5A9
FAM19A2     Q8N3H0
FAM19A3     Q7Z5A8
FAM19A4     Q96LR4
FAM19A5     Q7Z5A7
FAM20A      Q96MK3
FAM20B      O75063
FAM20C      Q8IXL6
FAM24A      A6NFZ4
FAM24B      Q8N5W8
FAM25A      B3EWG3
FAM25C      B3EWG5
FAM25G      B3EWG6
FAM26D      Q5JW98
FAM26E      Q8N5C1
FAM26F      Q5R3K3
FAM32A      Q9Y421
FAM35A      Q86V20
FAM43A      Q8N2R8
FAM43B      Q6ZT52
FAM45A      Q8TCE6
FAM46A      Q96IP4
FAM46B      Q96A09
FAM46C      Q5VWP2
FAM46D      Q8NEK8
FAM47A      Q5JRC9
FAM47B      Q8NA70
FAM47C      Q5HY64
FAM47E      Q6ZV65
FAM49A      Q9H0Q0
FAM49B      Q9NUQ9
FAM50A      Q14320
FAM50B      Q9Y247
FAM53A      Q6NSI3
FAM53B      Q14153
FAM53C      Q9NYF3
FAM57A      Q8TBR7
FAM57B      Q71RH2
FAM58A      Q8N1B3
FAM60A      Q9NP50
FAM69A      Q5T7M9
FAM69B      Q5VUD6
FAM69C      Q0P6D2
FAM71A      Q8IYT1
FAM71B      Q8TC56
FAM71C      Q8NEG0
FAM71D      Q8N9W8
FAM71E1     Q6IPT2
FAM71E2     Q8N5Q1
FAM71F1     Q96KD3
FAM71F2     Q6NXP2
FAM72A      Q5TYM5
FAM72B      Q86X60
FAM72C      H0Y354
FAM72D      Q6L9T8
FAM76A      Q8TAV0
FAM76B      Q5HYJ3
FAM78A      Q5JUQ0
FAM78B      Q5VT40
FAM81A      Q8TBF8
FAM81B      Q96LP2
FAM83A      Q86UY5
FAM83B      Q5T0W9
FAM83C      Q9BQN1
FAM83D      Q9H4H8
FAM83E      Q2M2I3
FAM83F      Q8NEG4
FAM83G      A6ND36
FAM83H      Q6ZRV2
FAM84A      Q96KN4
FAM84B      Q96KN1
FAM86B1     Q8N7N1
FAM86B2     P0C5J1
FAM86C1     Q9NVL1
FAM89A      Q96GI7
FAM89B      Q8N5H3
FAM90A1     Q86YD7
FAM91A1     Q658Y4
FAM92A      A1XBS5
FAM92B      Q6ZTR7
FAM96A      Q9H5X1
FAM96B      Q9Y3D0
FAM98A      Q8NCA5
FAM98B      Q52LJ0
FAM98C      Q17RN3
FAM102A     Q5T9C2
FAM102B     Q5T8I3
FAM103A1    Q9BTL3
FAM104A     Q969W3
FAM104B     Q5XKR9
FAM105A     Q9NUU6
FAM106A     Q4KMX7
FAM107A     O95990
FAM107B     Q9H098
FAM109A     Q8N4B1
FAM109B     Q6ICB4
FAM110A     Q9BQ89
FAM110B     Q8TC76
FAM110C     Q1W6H9
FAM110D     Q8TAY7
FAM111A     Q96PZ2
FAM111B     Q6SJ93
FAM114A1    Q8IWE2
FAM114A2    Q9NRY5
FAM117A     Q9C073
FAM117B     Q6P1L5
FAM118A     Q9NWS6
FAM118B     Q9BPY3
FAM120A     Q9NZB2
FAM120AOS   Q5T036
FAM120B     Q96EK7
FAM120C     Q9NX05
FAM122A     Q96E09
FAM122B     Q7Z309
FAM122C     Q6P4D5
FAM124A     Q86V42
FAM124B     Q9H5Z6
FAM126A     Q9BYI3
FAM126B     Q8IXS8
FAM129A     Q9BZQ8
FAM129B     Q96TA1
FAM129C     Q86XR2
FAM131A     Q6UXB0
FAM131B     Q86XD5
FAM131C     Q96AQ9
FAM133A     Q8N9E0
FAM133B     Q5BKY9
FAM135A     Q9P2D6
FAM135B     Q49AJ0
FAM136A     Q96C01
FAM149A     A5PLN7
FAM149B1    Q96BN6
FAM151A     Q8WW52
FAM151B     Q6UXP7
FAM153A     Q9UHL3
